Primary ID,%5min,%10min,%15min,%30min,%60min,%120min,%180min,%240min
Hidroclorotiazida_N3_2,5.175694938120746,9.008397105882818,12.651507389703465,23.348432864530913,41.67959556960926,68.60627661562843,81.73346202894197,86.67323708613444
Hidroclorotiazida_N4_1,7.999888005612866,13.305919146688726,19.110458035238608,35.27092260716993,62.00109447336456,96.82794859116336,97.3616568318172,100.0
Hidroclorotiazida_N4_2,8.545202788812961,14.838030811880804,19.458192101451864,29.989474255959113,47.00374408430289,72.22908273795288,87.91806600552778,97.20701681656186
Hidroclorotiazida_N5_1,4.6578606252394374,8.934568115039484,12.867535608723005,24.80419298653787,47.80645018335714,82.05611912588,92.40130988554247,94.86132671393312
Hidroclorotiazida_N5_2,5.443540737899779,9.567174951054366,13.248978594804433,23.527211982575803,41.75985815996997,70.86597558481039,90.28359488859932,94.4967021579324
Hidroclorotiazida_N6_1,5.95636369698154,9.090060372906189,11.40748646263298,17.978336137893606,30.779884588563135,58.70494328058536,87.40431991805805,96.71418619748856
Hidroclorotiazida_N6_2,5.2777015827033935,9.627485285154258,12.129286782616129,18.11984607045583,30.94140448338915,55.2728263974324,76.79123312319086,86.79398262332465
Hidroclorotiazida_N7_1,9.287052510126648,16.119733974481516,23.040693267719103,37.050587131903946,73.77496613205165,93.31093962846091,93.82444669855916,94.33795376865736
Hidroclorotiazida_N7_2,8.545629158693377,14.930706692219358,19.959812238288865,33.518058873286606,63.36428567680043,92.70546992668628,94.55585118944532,95.31447033268591
Hidroclorotiazida_N8_1,8.177101738090052,12.339583628529894,16.0935756643428,26.556890706030693,44.73315914423166,68.31698873388862,83.22303288215923,87.06536016649979
Hidroclorotiazida_N8_2,5.915377911795729,10.260194661487876,14.556730373557553,26.65611769212936,52.930589216967384,81.37838657984724,86.05570656242406,90.03415543839274
Hidroclorotiazida_N9_1,4.235530593719971,8.080937326619068,12.077656762601569,24.9479697832283,48.4135100529431,71.77016849583146,82.47938028896527,90.7124252523592
Hidroclorotiazida_N9_2,4.685237937316248,8.518121894722622,12.309382925339944,23.03338620208526,43.14708635280268,67.1960465752882,74.14542749625407,80.41526804863517
Hidroclorotiazida_N10_1,7.430100989513012,12.2906841511649,17.127133078962284,30.734961897606933,57.6652963261254,85.37782504484237,91.8724341074923,94.22038584166428
Hidroclorotiazida_N10_2,7.970644529361094,14.132523201512605,19.99102102649185,35.42913145861963,55.371910182275904,86.33823440843608,91.4919777757286,96.04195827088908
Acetazolamida_N1_1,11.168793413430192,17.05539504181321,27.004945817781675,36.916054545427976,60.7205337271257,75.73291521057442,77.75654400335095,78.18152721085102
Acetazolamida_N1_2,14.850897128078437,18.63162448235728,24.841608139188924,35.07570649573677,48.99113110423352,75.2453178049977,77.5810891235382,78.05409719338738
Acetazolamida_N2_1,7.565337056411428,11.651559073565702,15.626923803008657,27.6531447411175,45.58237222590988,80.53522997283163,89.92692376500791,89.92692376500791
Acetazolamida_N2_2,8.513426109443722,12.56788055936966,16.096483012390227,26.27351880010127,44.8468213655387,77.15869146386608,77.15869146386608,87.11378158612658
Acetazolamida_N3_1,5.776964467218959,8.862072551938285,11.892621734743008,20.866962222306213,36.07728338191385,59.58286713544417,71.05057675720572,75.96456280751575
Acetazolamida_N3_2,7.645675271672982,12.163427853546,16.039417967828694,26.26061751862547,42.75994426747045,69.39394795612525,80.67779732052904,82.04061074970348
Acetazolamida_N4_1,9.741510958676251,16.36484125323361,20.688947771559988,29.8539949319755,46.58742173252772,64.215802126403,68.55896746615493,68.55896746615493
Acetazolamida_N4_2,9.163242747867043,15.677219026186492,16.148452354530583,25.127124543505747,40.426043218781935,59.58131334571012,71.34556576536355,71.34556576536355
Acetazolamida_N5_1,7.82128746169023,13.225539468183497,18.0432033041349,29.95926435400577,64.45471214793045,90.64145998294023,93.34688375168196,93.34688375168196
Acetazolamida_N5_2,8.091924331506553,14.1594670371547,16.88077181431481,30.05217368572003,61.844521123625064,94.6534916658278,97.32167166787605,97.32167166787605
Acetazolamida_N6_1,5.89157782606816,10.998659192517042,15.462942914597058,26.90853559409397,53.37469206777174,82.65237310991692,87.99140111136018,89.65780266191942
